source_system,source_code,target_concept_id,target_vocabulary,target_domain,mapping_status
http://snomed.info/sct,44054006,201826,SNOMED,Condition,MAPPED
http://loinc.org,4548-4,3004410,LOINC,Measurement,MAPPED
